Output for:
-------------------------------------------------------------------------
good.txt
Enter review filename (good.txt, bad.txt, review.txt): good.txt
Word            Current Score  Accumulated Score
this            0.000           0.000
was             0.000           0.000
a               0.000           0.000
gift            1.890           1.890
for             0.000           1.890
my              0.000           1.890
grandson        0.000           1.890
he              0.000           1.890
used            -0.060          1.830
these           -0.850          0.980
product         0.580           1.560
during          -0.590          0.970
his             0.000           0.970
internship      0.000           0.970
at              0.000           0.970
google          0.000           0.970
he              0.000           0.970
loves           -1.010          -0.040
it              0.000           -0.040
and             0.000           -0.040
says            0.000           -0.040
it              0.000           -0.040
works           0.730           0.690
perfect         0.000           0.690
product         0.580           1.270
as              0.000           1.270
stated          -0.660          0.610
quick           0.550           1.160
delivery        0.210           1.370
this            0.000           1.370
is              0.000           1.370
an              0.000           1.370
amazing         1.260           2.630
setup           0.000           2.630
for             0.000           2.630
anybody         -0.040          2.590
wanting         -0.020          2.570
to              0.000           2.570
start           0.290           2.860
out             0.000           2.860
with            0.000           2.860
v60             0.000           2.860
all             0.000           2.860
pieces          0.060           2.920
arrived         0.170           3.090
in              0.000           3.090
perfect         0.000           3.090
condition       -0.630          2.460
and             0.000           2.460
one             0.000           2.460
day             0.490           2.950
early           0.850           3.800
the             0.000           3.800
setup           0.000           3.800
is              0.000           3.800
compact         1.030           4.830
and             0.000           4.830
all             0.000           4.830
pieces          0.060           4.890
are             0.000           4.890
aesthetically   0.000           4.890
coordinated     0.310           5.200
it              0.000           5.200
looks           0.040           5.240
great           1.480           6.720
on              0.000           6.720
the             0.000           6.720
counter         -0.090          6.630
the             0.000           6.630
set             0.240           6.870
is              0.000           6.870
thoughtfully    0.000           6.870
designed        0.040           6.910
too             -0.490          6.420
the             0.000           6.420
stand           0.010           6.430
fits            0.000           6.430
perfectly       2.690           9.120
on              0.000           9.120
the             0.000           9.120
scale           0.170           9.290
the             0.000           9.290
bottom          0.240           9.530
of              0.000           9.530
the             0.000           9.530
stand           0.010           9.540
has             0.000           9.540
little          -0.540          9.000
lips            0.590           9.590
that            0.000           9.590
hang            0.120           9.710
over            0.000           9.710
either          -0.190          9.520
side            0.140           9.660
of              0.000           9.660
the             0.000           9.660
scale           0.170           9.830
to              0.000           9.830
keep            -0.010          9.820
it              0.000           9.820
from            0.000           9.820
sliding         0.090           9.910
around          0.700           10.610
if              0.000           10.610
you             0.000           10.610
accidentally    0.000           10.610
knock           -0.320          10.290
it              0.000           10.290
the             0.000           10.290
scale           0.170           10.460
itself          -0.280          10.180
is              0.000           10.180
excellent       0.000           10.180
it              0.000           10.180
measures        0.350           10.530
to              0.000           10.530
the             0.000           10.530
tenth           0.000           10.530
of              0.000           10.530
a               0.000           10.530
gram            0.000           10.530
and             0.000           10.530
has             0.000           10.530
a               0.000           10.530
builtin         0.000           10.530
timer           0.000           10.530
which           0.000           10.530
is              0.000           10.530
extremely       -0.640          9.890
useful          0.840           10.730
also            -0.010          10.720
the             0.000           10.720
scale           0.170           10.890
does            0.040           10.930
not             0.000           10.930
shut            -0.580          10.350
of              0.000           10.350
its             0.000           10.350
own             0.930           11.280
if              0.000           11.280
left            0.520           11.800
untouched       0.340           12.140
this            0.000           12.140
was             0.000           12.140
a               0.000           12.140
big             -1.220          10.920
issue           -0.810          10.110
with            0.000           10.110
the             0.000           10.110
kitchen         -0.690          9.420
scale           0.170           9.590
i               0.000           9.590
used            -0.060          9.530
to              0.000           9.530
employ          0.000           9.530
for             0.000           9.530
pourovers       0.000           9.530
very            0.000           9.530
frustrating     -1.460          8.070
to              0.000           8.070
be              0.000           8.070
midpour         0.000           8.070
and             0.000           8.070
have            0.000           8.070
your            0.000           8.070
scale           0.170           8.240
shut            -0.580          7.660
off             -0.170          7.490
i               0.000           7.490
will            0.000           7.490
admit           -0.730          6.760
that            0.000           6.760
the             0.000           6.760
price           0.710           7.470
for             0.000           7.470
the             0.000           7.470
whole           -1.400          6.070
setup           0.000           6.070
is              0.000           6.070
a               0.000           6.070
bit             -0.720          5.350
high            0.020           5.370
youre           0.000           5.370
mostly          -0.400          4.970
paying          0.270           5.240
for             0.000           5.240
the             0.000           5.240
scale           0.170           5.410
which           0.000           5.410
goes            0.070           5.480
for             0.000           5.480
50              0.000           5.480
dollars         0.240           5.720
on              0.000           5.720
its             0.000           5.720
own             0.930           6.650
and             0.000           6.650
the             0.000           6.650
stand           0.010           6.660
which           0.000           6.660
goes            0.070           6.730
for             0.000           6.730
about           0.000           6.730
the             0.000           6.730
same            -0.340          6.390
for             0.000           6.390
this            0.000           6.390
reason          -0.120          6.270
id              0.000           6.270
only            0.000           6.270
recommend       0.000           6.270
this            0.000           6.270
product         0.580           6.850
if              0.000           6.850
youre           0.000           6.850
a               0.000           6.850
real            0.290           7.140
coffee          -0.650          6.490
lover           0.000           6.490
with            0.000           6.490
a               0.000           6.490
good            0.000           6.490
grinder         0.000           6.490
good            0.000           6.490
beans           0.080           6.570
and             0.000           6.570
the             0.000           6.570
time            0.000           6.570
patience        0.010           6.580
to              0.000           6.580
fuss            0.000           6.580
around          0.700           7.280
with            0.000           7.280
pourover        0.000           7.280
technique       0.300           7.580
otherwise       -0.130          7.450
for             0.000           7.450
a               0.000           7.450
beginner        0.000           7.450
an              0.000           7.450
aeropress       0.000           7.450
setup           0.000           7.450
is              0.000           7.450
simpler         0.320           7.770
less            -0.570          7.200
fussy           0.000           7.200
and             0.000           7.200
less            -0.570          6.630
expensive       -0.450          6.180
and             0.000           6.180
will            0.000           6.180
still           0.100           6.280
give            0.130           6.410
you             0.000           6.410
great           1.480           7.890
cups            -0.020          7.870
of              0.000           7.870
coffee          -0.650          7.220
personally      -0.030          7.190
im              0.000           7.190
thrilled        0.000           7.190
with            0.000           7.190
this            0.000           7.190
product         0.580           7.770
and             0.000           7.770
would           0.000           7.770
order           -0.020          7.750
it              0.000           7.750
again           -0.430          7.320
in              0.000           7.320
a               0.000           7.320
heartbeat       0.000           7.320

Total Sentiment Score for good.txt:  7.32
Star Rating for good.txt: 5

-------------------------------------------------------------------------

bad.txt
Enter review filename (good.txt, bad.txt, review.txt): bad.txt
Word            Current Score  Accumulated Score
so              0.000           0.000
ive             0.000           0.000
had             0.000           0.000
this            0.000           0.000
for             0.000           0.000
several         -0.430          -0.430
weeks           0.210           -0.220
now             0.000           -0.220
and             0.000           -0.220
the             0.000           -0.220
scale           0.170           -0.050
is              0.000           -0.050
already         -0.320          -0.370
on              0.000           -0.370
